amount;duration;rate;down_payment
30.00;68.00;62.00;48.00
74.00;44.00;20.00;90.00
13.00;49.00;95.00;24.00
39.00;19.00;67.00;12.00
11.00;62.00;68.00;66.00
20.00;4.00;60.00;23.00
57.00;99.00;52.00;88.00
51.00;35.00;46.00;2.00
23.00;69.00;71.00;44.00
40.00;27.00;35.00;94.00
67.00;50.00;1.00;4.00
5.00;34.00;77.00;81.00
8.00;96.00;10.00;84.00
65.00;15.00;63.00;49.00
7.00;25.00;16.00;59.00
38.00;82.00;79.00;5.00
37.00;46.00;34.00;47.00
6.00;80.00;58.00;38.00
31.00;48.00;36.00;41.00
72.00;92.00;89.00;97.00
2.00;29.00;15.00;75.00
28.00;26.00;28.00;56.00
93.00;76.00;78.00;92.00
33.00;61.00;13.00;96.00
75.00;90.00;64.00;80.00
