amount,duration,rate,down_payment,EMI
72.0,5.0,13.0,81.0,-1.86
10.0,81.0,72.0,39.0,-1.76
19.0,86.0,69.0,76.0,-3.3
65.0,95.0,18.0,66.0,-0.02
21.0,66.0,14.0,26.0,-0.11
96.0,38.0,7.0,86.0,0.29
55.0,16.0,8.0,19.0,2.38
84.0,51.0,77.0,75.0,0.6
67.0,50.0,23.0,22.0,1.41
90.0,78.0,57.0,82.0,0.39
22.0,42.0,95.0,38.0,-1.32
80.0,75.0,35.0,6.0,2.44
49.0,73.0,27.0,41.0,0.22
85.0,35.0,71.0,16.0,4.71
2.0,6.0,79.0,93.0,-18.85
7.0,69.0,52.0,10.0,-0.14
24.0,54.0,91.0,63.0,-3.02
93.0,62.0,37.0,15.0,2.84
9.0,15.0,84.0,70.0,-6.7
33.0,12.0,87.0,4.0,3.7
36.0,37.0,30.0,34.0,0.08
29.0,0.0,2.0,1.0,28.0
41.0,47.0,80.0,54.0,-0.91
17.0,28.0,64.0,0.0,1.18
44.0,34.0,88.0,49.0,-0.4
