amount,duration,rate,down_payment,EMI
96.0,47.0,65.0,44.0,3.07
40.0,90.0,0.0,9.0,0.34
29.0,48.0,21.0,40.0,-0.34
57.0,32.0,14.0,2.0,2.07
20.0,75.0,59.0,26.0,-0.3
35.0,64.0,57.0,69.0,-1.7
19.0,73.0,52.0,60.0,-1.86
0.0,26.0,53.0,88.0,-5.76
65.0,99.0,84.0,67.0,-0.14
89.0,13.0,49.0,73.0,1.61
74.0,87.0,90.0,29.0,3.38
25.0,56.0,55.0,6.0,0.95
28.0,69.0,68.0,12.0,0.93
30.0,5.0,79.0,54.0,-5.79
15.0,79.0,92.0,82.0,-5.15
92.0,7.0,72.0,96.0,-0.72
18.0,51.0,91.0,87.0,-5.36
61.0,97.0,99.0,16.0,3.71
44.0,23.0,15.0,94.0,-2.51
63.0,78.0,10.0,31.0,0.56
16.0,60.0,97.0,71.0,-4.49
54.0,10.0,47.0,95.0,-5.03
41.0,31.0,83.0,89.0,-3.8
67.0,6.0,22.0,28.0,6.92
58.0,2.0,56.0,81.0,-12.31
